title
"The Life and Death of Unwanted Bits: Towards Proactive Waste Data
  Management in Digital Ecosystems"
Power aware physical model for 3d IC's
"Parallel Algorithms for DNA Probe Placement on Small Oligonucleotide
  Arrays"
"Optimal Inverter VAR Control in Distribution Systems with High PV
  Penetration"
Temporal Psychovisual Modulation: a new paradigm of information display
A New Full Adder Cell for Molecular Electronics
"Thermal analysis & optimization of a 3 dimensional heterogeneous
  structure"
Design and modelling of different SRAM's based on CNTFET 32nm technology
Intra-bodyhybrid communication scheme for healthcare systems
A Novel Design for Quantum-dot Cellular Automata Cells and Full Adders
A Novel Design for Quantum-dot Cellular Automata Cells and Full Adders
"Active Tile Self-assembly, Self-similar Structures and Recursion"
"Algorithms for Producing Linear Dilution Gradient with Digital
  Microfluidics"
"Performance Analysis of Spin Transfer Torque Random Access Memory with
  cross shaped free layer using Heusler Alloys by using micromagnetic studies"
"Noise-based information processing: Noise-based logic and computing:
  what do we have so far?"
Optical Solver of Combinatorial Problems: Nano-Technological Approach
"A low power high bandwidth four quadrant analog multiplier in 32 nm
  CNFET technology"
CDMA Based Interconnect Mechanism for SOPC
Digital Circuits Implementation On Rpga Simulator
DNACloud: A Potential Tool for storing Big Data on DNA
Nanowire Volatile RAM as an Alternative to SRAM
"A fractal approach to the dark silicon problem: a comparison of 3D
  computer architectures -- standard slices versus fractal Menger sponge
  geometry"
Transmit Pulse Shaping for Molecular Communications
A Compressive Multi-Mode Superresolution Display
On the physical and circuit-theoretic significance of the Memristor
Next Generation High Speed Computing Using Photonic Based Technolog
"Frequency Domain Approach for Activity Classification using
  Accelerometer"
Informed Source Separation using Iterative Reconstruction
"Asynchronous Signal Passing for Tile Self-Assembly: Fuel Efficient
  Computation and Efficient Assembly of Shapes"
Memristor-based mono-stable oscillator
"Toward Turing's A-type Unorganised Machines in an Unconventional
  Substrate: a Dynamic Representation in Compartmentalised Excitable Chemical
  Media"
"Integration of nanoscale memristor synapses in neuromorphic computing
  architectures"
Overview of Optical Interconnect Technology
"On Mobile DNA in Artificial Regulatory Networks: Evolving Functional and
  Structural Dynamism"
"Nanoscale photonic network for solution searching and decision making
  problems"
DNA Pen: A Tool for Drawing on a Molecular Canvas
"Signal Transmission Across Tile Assemblies: 3D Static Tiles Simulate
  Active Self-Assembly by 2D Signal-Passing Tiles"
RFID Technology Based Attendance Management System
Channel and Noise Models for Nonlinear Molecular Communication Systems
"Toward bio-inspired information processing with networks of nano-scale
  switching elements"
Times in noise-based logic: increased dimensions of logic hyperspace
"Fully Automatic Liquid Metal Printer towards Personal Electronics
  Manufacture"
Routing of Physarum polycephalum signals using simple chemicals
Complexity Analysis of Reversible Logic Synthesis
Design of an Amplifier through Second Generation Current Conveyor
"Era of Big Data Processing: A New Approach via Tensor Networks and
  Tensor Decompositions"
Towards slime mould electrical logic gates with optical coupling
"Sensory fusion in Physarum polycephalum and implementing multi-sensory
  functional computation"
"Applicability of Well-Established Memristive Models for Simulations of
  Resistive Switching Devices"
A Molecular Communication Link for Monitoring in Confined Environments
"Reservoir Computing Approach to Robust Computation using Unreliable
  Nanoscale Networks"
"Analysis of S Band Substrate Integrated Waveguide Power Divider,
  Circulator and Coupler"
"Introduction to RIMEP2: A Multi-Expression Programming System for the
  Design of Reversible Digital Circuits"
3DNA: A Tool for DNA Sculpting
"Ancilla-Quantum Cost Trade-off during Reversible Logic Synthesis using
  Exclusive Sum-of-Products"
"Slime Mould Logic Gates Based on Frequency Changes of Electrical
  Potential Oscillation"
Analog input layer for optical reservoir computers
"A Model for Variation- and Fault-Tolerant Digital Logic using
  Self-Assembled Nanowire Architectures"
"Channel Modeling of Human Somatosensory Nanonetwork: Body Discriminative
  Touch and Proprioception Perspective"
"Elimination of a Second-Law-attack, and all cable-resistance-based
  attacks, in the Kirchhoff-law-Johnson-noise (KLJN) secure key exchange system"
A Cost Minimization Approach to Synthesis of Linear Reversible Circuits
Development of Tool for Mapping Conventional Circuit to Reversible Logic
"Compressed EEG Acquisition with Limited Channels using Estimated Signal
  Correlation"
Quantum Cost Optimization for Reversible Sequential Circuit
Efficient Design of Reversible Sequential Circuit
Applying Spiking Neural Nets to Noise Shaping
Integration Testing of Heterotic Systems
"Universal Computation with Arbitrary Polyomino Tiles in Non-Cooperative
  Self-Assembly"
Embedding of Large Boolean Functions for Reversible Logic
Bird's-eye view on Noise-Based Logic
Spin Orbit Torque Based Electronic Neuron
A Stochastic Model for Electron Transfer in Bacterial Cables
A Complementary Resistive Switch-based Crossbar Array Adder
Synthesis of Sequential Reversible Circuits through Finite State Machine
"A New Gate for Optimal Fault Tolerant & Testable Reversible Sequential
  Circuit Design"
A Comprehensive Survey of Recent Advancements in Molecular Communication
Boolean Computation Using Self-Sustaining Nonlinear Oscillators
"Arrival Modeling and Error Analysis for Molecular Communication via
  Diffusion with Drift"
Spin Wave Neuroanalog of von Neumann's Microwave Computer
Infinite Object Coating in the Amoebot Model
"On Timing Synchronization for Quantity-based Modulation in Additive
  Inverse Gaussian Channel with Drift"
Social Behavior in Bacterial Nanonetworks: Challenges and Opportunities
Physarum Chip: Developments in growing computers from slime mould
"Training and Operation of an Integrated Neuromorphic Network Based on
  Metal-Oxide Memristors"
"On Gate Complexity of Reversible Circuits Consisting of NOT, CNOT and
  2-CNOT Gates"
"A Biological-Realtime Neuromorphic System in 28 nm CMOS using
  Low-Leakage Switched Capacitor Circuits"
"Switched-Capacitor Realization of Presynaptic Short-Term-Plasticity and
  Stop-Learning Synapses in 28 nm CMOS"
Spin-Orbit Torque Induced Spike-Timing Dependent Plasticity
"Carbon Nanotube Based Delay Model For High Speed Energy Efficient on
  Chip Data Transmission Using: Current Mode Technique"
"Optimized Implementation of Memristor-Based Full Adder by Material
  Implication Logic"
"Asymptotic bounds of depth for a reversible circuit consisting of NOT,
  CNOT and 2-CNOT gates"
Computing Real Numbers using DNA Self-Assembly
Accuracy Enhancement of Pickett Tunnelling Barrier Memristor Model
"Connectionist-Symbolic Machine Intelligence using Cellular Automata
  based Reservoir-Hyperdimensional Computing"
"Replication of arbitrary hole-free shapes via self-assembly with
  signal-passing tiles (extended abstract)"
"A Universal Channel Model for Molecular Communication Systems with
  Metal-Oxide Detectors"
"On the role of the plasmodial cytoskeleton in facilitating intelligent
  behaviour in slime mould Physarum polycephalum"
"Approximation of Statistical Analysis and Estimation by Morphological
  Adaptation in a Model of Slime Mould"
"Material Approximation of Data Smoothing and Spline Curves Inspired by
  Slime Mould"
"A Morphological Adaptation Approach to Path Planning Inspired by Slime
  Mould"
Detection Algorithms for Molecular MIMO
Molecular MIMO Communication Link
"The Human Body and Millimeter-Wave Wireless Communication Systems:
  Interactions and Implications"
Slime Mould Inspired Generalised Voronoi Diagrams with Repulsive Fields
Mixed polarity reversible Peres gates
"Leader Election and Shape Formation with Self-Organizing Programmable
  Matter"
"An Algorithmic Framework for Shape Formation Problems in Self-Organizing
  Particle Systems"
"Self-similar Magneto-electric Nanocircuit Technology for Probabilistic
  Inference Engines"
"On Asymptotic Gate Complexity and Depth of Reversible Circuits Without
  Additional Memory"
A symbolic calculus for a class of quantum computing circuits
"Molecular Communications with Longitudinal Carrier Waves: Baseband to
  Passband Modulation"
The Computational Universality of Metabolic Computing
"Topological characterization of S[B] systems: From data to models of
  complexity"
Memristor Load Current Mirror Circuit
Hybrid Memristor-CMOS (MeMOS) based Logic Gates and Adder Circuits
"Binary full adder, made of fusion gates, in sub-excitable
  Belousov-Zhabotinsky system"
Emulating short-term synaptic dynamics with memristive devices
"Future Large-Scale Memristive Device Crossbar Arrays: Limits Imposed by
  Sneak-Path Currents on Read Operations"
A Batteryless Sensor ASIC for Implantable Bio-impedance Applications
"Computational Capacity and Energy Consumption of Complex Resistive
  Switch Networks"
