title
"Hierarchical Reinforcement Learning with the MAXQ Value Function
  Decomposition"
State Abstraction in MAXQ Hierarchical Reinforcement Learning
"Multiplicative Algorithm for Orthgonal Groups and Independent Component
  Analysis"
Multiplicative Nonholonomic/Newton -like Algorithm
Complexity analysis for algorithmically simple strings
Robust Classification for Imprecise Environments
Top-down induction of clustering trees
Scaling Up Inductive Logic Programming by Learning from Interpretations
Learning Policies with External Memory
Efficient algorithms for decision tree cross-validation
"Evaluation of the Performance of the Markov Blanket Bayesian Classifier
  Algorithm"
Approximating Incomplete Kernel Matrices by the em Algorithm
"Reliable and Efficient Inference of Bayesian Networks from Sparse Data
  by Statistical Learning Theory"
Toward Attribute Efficient Learning Algorithms
"Improving spam filtering by combining Naive Bayes with simple k-nearest
  neighbor searches"
About Unitary Rating Score Constructing
"Mining Heterogeneous Multivariate Time-Series for Learning Meaningful
  Patterns: Application to Home Health Telecare"
Stability Analysis for Regularized Least Squares Regression
Probabilistic and Team PFIN-type Learning: General Properties
Non-asymptotic calibration and resolution
Defensive forecasting for linear protocols
About one 3-parameter Model of Testing
On the Job Training
Multiresolution Kernels
Defensive Universal Learning with Experts
FPL Analysis for Adaptive Bandits
Learning Optimal Augmented Bayes Networks
Learning Unions of $ω(1)$-Dimensional Rectangles
On-line regression competitive with reproducing kernel Hilbert spaces
Bounds on Query Convergence
Preference Learning in Terminology Extraction: A ROC-based approach
Competing with wild prediction rules
"Genetic Programming, Validation Sets, and Parsimony Pressure"
Processing of Test Matrices with Guessing Correction
Learning rational stochastic languages
General Discounting versus Average Reward
On Sequence Prediction for Arbitrary Measures
Predictions as statements and decisions
PAC Classification based on PAC Estimates of Label Class Distributions
Competing with stationary prediction strategies
"Using Pseudo-Stochastic Rational Languages in Probabilistic Grammatical
  Inference"
"Logical settings for concept learning from incomplete examples in First
  Order Logic"
"A Theory of Probabilistic Boosting, Decision Trees and Matryoshki"
Leading strategies in competitive on-line prediction
Competing with Markov prediction strategies
A Study on Learnability for Rigid Lambek Grammars
A Massive Local Rules Search Approach to the Classification Problem
Metric entropy in competitive on-line prediction
"PAC Learning Mixtures of Axis-Aligned Gaussians with No Separation
  Assumption"
Hedging predictions in machine learning
"A Unified View of TD Algorithms; Introducing Full-Gradient TD and
  Equi-Gradient Descent TD"
Bandit Algorithms for Tree Search
Intrinsic dimension of a dataset: what properties does one expect?
Parametric Learning and Monte Carlo Optimization
